SAMPID	TISSUE_ABBRV	TISSUE_NAME
HG00375	LCL	Cells_EBV-transformed_lymphocytes
HG00376	LCL	Cells_EBV-transformed_lymphocytes
HG00378	LCL	Cells_EBV-transformed_lymphocytes
HG00379	LCL	Cells_EBV-transformed_lymphocytes
HG00380	LCL	Cells_EBV-transformed_lymphocytes
HG00381	LCL	Cells_EBV-transformed_lymphocytes
HG00382	LCL	Cells_EBV-transformed_lymphocytes
HG00383	LCL	Cells_EBV-transformed_lymphocytes
HG00384	LCL	Cells_EBV-transformed_lymphocytes
HG01334	LCL	Cells_EBV-transformed_lymphocytes
HG01789	LCL	Cells_EBV-transformed_lymphocytes
HG01790	LCL	Cells_EBV-transformed_lymphocytes
HG01791	LCL	Cells_EBV-transformed_lymphocytes
HG02215	LCL	Cells_EBV-transformed_lymphocytes
NA06984	LCL	Cells_EBV-transformed_lymphocytes
NA06985	LCL	Cells_EBV-transformed_lymphocytes
NA06986	LCL	Cells_EBV-transformed_lymphocytes
NA06989	LCL	Cells_EBV-transformed_lymphocytes
NA06994	LCL	Cells_EBV-transformed_lymphocytes
NA07037	LCL	Cells_EBV-transformed_lymphocytes
NA07048	LCL	Cells_EBV-transformed_lymphocytes
NA07051	LCL	Cells_EBV-transformed_lymphocytes
NA07056	LCL	Cells_EBV-transformed_lymphocytes
NA07347	LCL	Cells_EBV-transformed_lymphocytes
NA07357	LCL	Cells_EBV-transformed_lymphocytes
NA10847	LCL	Cells_EBV-transformed_lymphocytes
NA10851	LCL	Cells_EBV-transformed_lymphocytes
NA11829	LCL	Cells_EBV-transformed_lymphocytes
NA11830	LCL	Cells_EBV-transformed_lymphocytes
NA11831	LCL	Cells_EBV-transformed_lymphocytes
NA11832	LCL	Cells_EBV-transformed_lymphocytes
NA11840	LCL	Cells_EBV-transformed_lymphocytes
NA11843	LCL	Cells_EBV-transformed_lymphocytes
NA11881	LCL	Cells_EBV-transformed_lymphocytes
NA11892	LCL	Cells_EBV-transformed_lymphocytes
NA11893	LCL	Cells_EBV-transformed_lymphocytes
NA11894	LCL	Cells_EBV-transformed_lymphocytes
NA11918	LCL	Cells_EBV-transformed_lymphocytes
NA11920	LCL	Cells_EBV-transformed_lymphocytes
